                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.74209,                0.60799,                 1.0789,                0.72855,                0.75563,                0.72449,                0.52739,                0.90316,                0.80495,                 1.2206,               0.002575,               0.002575,               0.002575
                     77,                0.73591,                0.59352,                 1.0802,                0.79146,                0.71653,                0.72172,                0.52198,                 0.9168,                0.81281,                 1.2202,               0.002476,               0.002476,               0.002476
                     78,                0.72886,                  0.581,                 1.0746,                 0.7216,                0.73586,                0.73532,                 0.5299,                 0.9117,                0.82932,                 1.2191,               0.002377,               0.002377,               0.002377
                     79,                0.72578,                0.58504,                 1.0677,                0.82841,                0.74347,                0.72367,                0.52718,                0.89904,                0.81851,                 1.2135,               0.002278,               0.002278,               0.002278
                     80,                0.72391,                0.58358,                 1.0621,                0.68969,                0.74286,                0.70192,                0.50929,                0.90121,                0.83829,                  1.209,               0.002179,               0.002179,               0.002179
                     81,                0.72119,                0.58071,                  1.069,                0.72915,                 0.7787,                0.74001,                0.53339,                0.89709,                0.78839,                 1.2123,                0.00208,                0.00208,                0.00208
                     82,                0.70995,                0.56202,                  1.057,                0.69533,                 0.7726,                0.73382,                0.52929,                0.91066,                0.83367,                 1.2294,               0.001981,               0.001981,               0.001981
                     83,                  0.705,                0.55639,                  1.056,                0.69905,                0.77233,                0.73062,                0.54059,                0.89575,                0.78419,                 1.2176,               0.001882,               0.001882,               0.001882
                     84,                0.70946,                0.56466,                 1.0659,                0.76288,                0.77086,                0.73953,                0.54854,                0.89693,                0.81239,                 1.1981,               0.001783,               0.001783,               0.001783
                     85,                0.69941,                0.56327,                 1.0545,                0.76256,                 0.7847,                0.76031,                0.54232,                0.90463,                0.78725,                 1.2151,               0.001684,               0.001684,               0.001684
                     86,                0.70003,                0.55478,                 1.0581,                0.78089,                 0.7785,                 0.7567,                0.56035,                0.89317,                0.76956,                 1.2043,               0.001585,               0.001585,               0.001585
